"frequency_yrs","annual_non_suppression","ab_tests_per_year","pcr_tests_per_year_pcronly","pcr_tests_per_year_triage","cost_pcronly","cost_triage","eff_pcronly","eff_triage","mort_pcronly","mort_triage","delta_cost","delta_eff","delta_LY","delta_DALY","ICER_suppression","ICER_LY","ICER_DALY","freq_label","triage_cheaper","triage_more_effective"
0.0833333333333333,0.02,12,1,0.732,45,116.94,0.0022,0.002244,0.0157550085173136,0.0156577369382074,71.94,4.39999999999998e-05,9.72715791062173e-05,0.00325474737318654,1635000.00000001,739578.823136447,22103.0979524434,"Monthly",FALSE,TRUE
0.125,0.02,8,1,0.488,45,77.96,0.0022,0.002142,0.0157550085173136,0.0156621583736213,32.96,-5.79999999999999e-05,9.28501436922996e-05,0.00310680431076904,-568275.862068967,354980.603037381,10608.9720185309,"6-weekly",FALSE,FALSE
0.25,0.02,4,1,0.244,45,38.98,0.0022,0.001836,0.0157550085173136,0.0156754226798631,-6.02,-0.000364,7.9585837450543e-05,0.00266297512351632,16538.4615384615,-75641.598968422,-2260.62945419141,"Quarterly",TRUE,FALSE
0.5,0.02,2,1,0.122,45,19.49,0.0022,0.001224,0.0157550085173136,0.0157019512923466,-25.51,-0.000976,5.30572249670298e-05,0.00177531674901088,26137.2950819672,-480801.625336646,-14369.2667881452,"Biannual",TRUE,FALSE
1,0.02,1,1,0.061,45,9.745,0.0022,0,0.0157550085173136,0.0157550085173136,-35.255,-0.0022,0,0,16025,NA,NA,"Annual",TRUE,FALSE
0.0833333333333333,0.05,12,1,0.93,45,125.85,0.0055,0.00561,0.0170554306978781,0.0168122517501125,80.85,0.000109999999999999,0.000243178947765547,0.00813686843296635,735000.000000007,332471.214070508,9936.25504284154,"Monthly",FALSE,TRUE
0.125,0.05,8,1,0.62,45,83.9,0.0055,0.005355,0.0170554306978781,0.0168233053386473,38.9,-0.000145000000000001,0.000232125359230749,0.00776701077692243,-268275.862068964,167581.862356239,5008.36179030172,"6-weekly",FALSE,FALSE
0.25,0.05,4,1,0.31,45,41.95,0.0055,0.00459,0.0170554306978781,0.0168564661042517,-3.04999999999999,-0.000910000000000001,0.000198964593626356,0.00665743780879058,3351.64835164834,-15329.360588285,-458.134208324519,"Quarterly",TRUE,FALSE
0.5,0.05,2,1,0.155,45,20.975,0.0055,0.00306,0.0170554306978781,0.0169227876354605,-24.025,-0.00244,0.000132643062417569,0.00443829187252698,9846.31147540983,-181125.190885353,-5413.11853524432,"Biannual",TRUE,FALSE
1,0.05,1,1,0.0775,45,10.4875,0.0055,0,0.0170554306978781,0.0170554306978781,-34.5125,-0.0055,0,0,6275,NA,NA,"Annual",TRUE,FALSE
0.0833333333333333,0.1,12,1,1.26,45,140.7,0.011,0.01122,0.0192228009988187,0.0187364431032877,95.7,0.000219999999999998,0.000486357895531093,0.0162737368659329,435000.000000004,196768.677715199,5880.64073964083,"Monthly",FALSE,TRUE
0.125,0.1,8,1,0.84,45,93.8,0.011,0.01071,0.0192228009988187,0.0187585502803573,48.8,-0.000290000000000002,0.000464250718461498,0.015534021553845,-168275.862068964,105115.615462526,3141.49171422522,"6-weekly",FALSE,FALSE
0.25,0.1,4,1,0.42,45,46.9,0.011,0.00918,0.0192228009988187,0.018824871811566,1.90000000000001,-0.00182,0.000397929187252712,0.0133148756175815,-1043.95604395605,4774.71887176092,142.697540297798,"Quarterly",FALSE,FALSE
0.5,0.1,2,1,0.21,45,23.45,0.011,0.00612,0.0192228009988187,0.0189575148739836,-21.55,-0.00488,0.000265286124835142,0.0088765837450544,4415.98360655738,-81233.0460682476,-2427.73578427699,"Biannual",TRUE,FALSE
1,0.1,1,1,0.105,45,11.725,0.011,0,0.0192228009988187,0.0192228009988187,-33.275,-0.011,0,0,3025,NA,NA,"Annual",TRUE,FALSE
0.0833333333333333,0.2,12,1,1.92,45,170.4,0.022,0.02244,0.0235575416007001,0.022584825809638,125.4,0.000439999999999996,0.000972715791062184,0.0325474737318655,285000.000000003,128917.409537544,3852.83358804058,"Monthly",FALSE,TRUE
0.125,0.2,8,1,1.28,45,113.6,0.022,0.02142,0.0235575416007001,0.0226290401637771,68.6,-0.000580000000000004,0.000928501436922993,0.0310680431076897,-118275.862068965,73882.4920156688,2208.05667618701,"6-weekly",FALSE,FALSE
0.25,0.2,4,1,0.64,45,56.8,0.022,0.01836,0.0235575416007001,0.0227616832261947,11.8,-0.00364,0.000795858374505423,0.0266297512351626,-3241.75824175824,14826.7586017839,443.113414608957,"Quarterly",FALSE,FALSE
0.5,0.2,2,1,0.32,45,28.4,0.022,0.01224,0.0235575416007001,0.0230269693510299,-16.6,-0.00976,0.000530572249670281,0.0177531674901085,1700.81967213115,-31286.9736596965,-935.044408793474,"Biannual",TRUE,FALSE
1,0.2,1,1,0.16,45,14.2,0.022,0,0.0235575416007001,0.0235575416007001,-30.8,-0.022,0,0,1400,NA,NA,"Annual",TRUE,FALSE
