AB_Specificity;a;data_annual_rebound_rate;x;y
0.9;0;0.04;6;136
0.9;0.01;0.04;6.12;136
0.9;0.02;0.04;6.24;136
0.9;0.03;0.04;6.36;136
0.9;0.04;0.04;6.48;136
0.9;0.05;0.04;6.6;136
0.9;0.06;0.04;6.72;136
0.9;0.07;0.04;6.84;136
0.9;0.08;0.04;6.96;136
0.9;0.09;0.04;7.08;136
0.9;0.1;0.04;7.2;136
0.9;0.11;0.04;7.32;136
0.9;0.12;0.04;7.44;136
0.9;0.13;0.04;7.56;136
0.9;0.14;0.04;7.68;136
0.9;0.15;0.04;7.8;136
0.9;0.16;0.04;7.92;136
0.9;0.17;0.04;8.04;136
0.9;0.18;0.04;8.16;136
0.9;0.19;0.04;8.28;136
0.9;0.2;0.04;8.4;136
0.9;0.21;0.04;8.52;136
0.9;0.22;0.04;8.64;136
0.9;0.23;0.04;8.76;136
0.9;0.24;0.04;8.88;136
0.9;0.25;0.04;9;136
0.9;0.26;0.04;9.12;136
0.9;0.27;0.04;9.24;136
0.9;0.28;0.04;9.36;136
0.9;0.29;0.04;9.48;136
0.9;0.3;0.04;9.6;136
0.9;0.31;0.04;9.72;136
0.9;0.32;0.04;9.84;136
0.9;0.33;0.04;9.96;136
0.9;0.34;0.04;10.08;136
0.9;0.35;0.04;10.2;136
0.9;0.36;0.04;10.32;136
0.9;0.37;0.04;10.44;136
0.9;0.38;0.04;10.56;136
0.9;0.39;0.04;10.68;136
0.9;0.4;0.04;10.8;136
0.9;0;0.05;6;145
0.9;0.01;0.05;6.12;145
0.9;0.02;0.05;6.24;145
0.9;0.03;0.05;6.36;145
0.9;0.04;0.05;6.48;145
0.9;0.05;0.05;6.6;145
0.9;0.06;0.05;6.72;145
0.9;0.07;0.05;6.84;145
0.9;0.08;0.05;6.96;145
0.9;0.09;0.05;7.08;145
0.9;0.1;0.05;7.2;145
0.9;0.11;0.05;7.32;145
0.9;0.12;0.05;7.44;145
0.9;0.13;0.05;7.56;145
0.9;0.14;0.05;7.68;145
0.9;0.15;0.05;7.8;145
0.9;0.16;0.05;7.92;145
0.9;0.17;0.05;8.04;145
0.9;0.18;0.05;8.16;145
0.9;0.19;0.05;8.28;145
0.9;0.2;0.05;8.4;145
0.9;0.21;0.05;8.52;145
0.9;0.22;0.05;8.64;145
0.9;0.23;0.05;8.76;145
0.9;0.24;0.05;8.88;145
0.9;0.25;0.05;9;145
0.9;0.26;0.05;9.12;145
0.9;0.27;0.05;9.24;145
0.9;0.28;0.05;9.36;145
0.9;0.29;0.05;9.48;145
0.9;0.3;0.05;9.6;145
0.9;0.31;0.05;9.72;145
0.9;0.32;0.05;9.84;145
0.9;0.33;0.05;9.96;145
0.9;0.34;0.05;10.08;145
0.9;0.35;0.05;10.2;145
0.9;0.36;0.05;10.32;145
0.9;0.37;0.05;10.44;145
0.9;0.38;0.05;10.56;145
0.9;0.39;0.05;10.68;145
0.9;0.4;0.05;10.8;145
0.9;0;0.06;6;154
0.9;0.01;0.06;6.12;154
0.9;0.02;0.06;6.24;154
0.9;0.03;0.06;6.36;154
0.9;0.04;0.06;6.48;154
0.9;0.05;0.06;6.6;154
0.9;0.06;0.06;6.72;154
0.9;0.07;0.06;6.84;154
0.9;0.08;0.06;6.96;154
0.9;0.09;0.06;7.08;154
0.9;0.1;0.06;7.2;154
0.9;0.11;0.06;7.32;154
0.9;0.12;0.06;7.44;154
0.9;0.13;0.06;7.56;154
0.9;0.14;0.06;7.68;154
0.9;0.15;0.06;7.8;154
0.9;0.16;0.06;7.92;154
0.9;0.17;0.06;8.04;154
0.9;0.18;0.06;8.16;154
0.9;0.19;0.06;8.28;154
0.9;0.2;0.06;8.4;154
0.9;0.21;0.06;8.52;154
0.9;0.22;0.06;8.64;154
0.9;0.23;0.06;8.76;154
0.9;0.24;0.06;8.88;154
0.9;0.25;0.06;9;154
0.9;0.26;0.06;9.12;154
0.9;0.27;0.06;9.24;154
0.9;0.28;0.06;9.36;154
0.9;0.29;0.06;9.48;154
0.9;0.3;0.06;9.6;154
0.9;0.31;0.06;9.72;154
0.9;0.32;0.06;9.84;154
0.9;0.33;0.06;9.96;154
0.9;0.34;0.06;10.08;154
0.9;0.35;0.06;10.2;154
0.9;0.36;0.06;10.32;154
0.9;0.37;0.06;10.44;154
0.9;0.38;0.06;10.56;154
0.9;0.39;0.06;10.68;154
0.9;0.4;0.06;10.8;154
0.9;0;0.07;6;163
0.9;0.01;0.07;6.12;163
0.9;0.02;0.07;6.24;163
